          1.000          0.000          1.000          0.000          0.000          1.000          0.000          1.000          0.000          1.000          0.000          1.000          3.000         -1.000          1.000     100001.000          1.099          0.387
          1.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          1.000         -1.000         -1.000     100002.000         -0.458          0.556
          1.000          0.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000         -1.000         -1.000     100003.000          1.859          0.443
          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          2.000         -1.000         -1.000     100004.000         -0.145          0.497
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000         -1.000         -1.000     100005.000         -1.651          0.749
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000          1.000     100006.000         -1.414          0.749
          1.000          1.000          0.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          1.000          4.000         -1.000         -1.000     100007.000          2.732          0.674
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000         -1.000         -1.000     100008.000         -1.637          0.732
          1.000          0.000          1.000          1.000          0.000          1.000          1.000          1.000          0.000          1.000          0.000          1.000          1.000         -1.000          1.000     100009.000          1.374          0.383
          0.000          1.000          0.000          1.000          1.000          1.000          0.000          1.000          1.000          1.000          0.000          1.000          0.000         -1.000         -1.000     100010.000          1.377          0.371
          0.000          1.000          1.000          1.000          0.000          0.000          1.000          0.000          1.000          1.000          0.000          0.000          1.000         -1.000         -1.000     100011.000          0.733          0.375
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000          1.000     100012.000         -1.437          0.758
          1.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000         -1.000     100013.000         -0.740          0.601
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -2.000         -1.000         -1.000     100014.000         -1.886          0.722
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000         -1.000          1.000     100015.000         -1.279          0.764
          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -2.000         -1.000          1.000     100016.000         -0.953          0.614
          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000         -1.000         -1.000     100017.000         -1.208          0.668
          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          1.000          0.000          0.000          0.000         -1.000         -1.000          1.000     100018.000         -0.091          0.473
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         -1.000         -1.000     100019.000         -1.468          0.755
          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          1.000         -1.000         -1.000     100020.000         -0.776          0.651
          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          1.000          0.000          0.000          0.000         -1.000          1.000     100021.000         -0.438          0.578
